chr	pos	totDepth
KN805525.1	1687277	17517
KN805525.1	1701675	23878
KN805525.1	1701676	23886
KN805525.1	1701677	23880
KN805525.1	1701685	22696
KN805525.1	1701693	24432
KN805525.1	1701694	24308
KN805525.1	1776696	13483
KN805525.1	1776706	13485
KN805525.1	1776707	13417
KN805525.1	1776708	13497
KN805525.1	1776714	13486
KN805525.1	1776715	13465
KN805525.1	1776717	13462
KN805525.1	1850559	9415
KN805525.1	1850562	9587
KN805525.1	1850586	9605
KN805525.1	1985688	14279
KN805525.1	1985689	14286
KN805525.1	1985690	14285
KN805525.1	1985712	14315
KN805525.1	1985721	14325
KN805525.1	1985733	14329
KN805525.1	1985735	14308
KN805525.1	1985741	14330
KN805525.1	1985742	14333
KN805525.1	2003956	9661
KN805525.1	2003986	14024
KN805525.1	2003990	15302
KN805525.1	2386268	15862
KN805525.1	2560488	15101
KN805525.1	2560495	15076
KN805525.1	2560505	15034
KN805525.1	2560524	23903
KN805525.1	2560528	23877
KN805525.1	2560531	23827
KN805525.1	2560534	20831
KN805525.1	2560544	20823
KN805525.1	2560545	20824
KN805525.1	2754862	16404
KN805525.1	2754883	16439
KN805525.1	2754887	16431
KN805525.1	2754910	19945
KN805525.1	2754912	19902
KN805525.1	2755060	25995
KN805525.1	2755088	19627
KN805525.1	2755092	19592
KN805525.1	2755100	19541
KN805525.1	2755111	19065
KN805525.1	2759631	13619
KN805525.1	2759657	14076
KN805525.1	2759665	14070
KN805525.1	2759683	7922
KN805525.1	2759733	16589
KN805525.1	2759735	16596
KN805525.1	2759742	15921
KN805525.1	2759745	16568
KN805525.1	2759746	16603
KN805525.1	2759749	16310
KN805525.1	2759765	16592
KN805525.1	2759767	16592
KN805525.1	2759773	16604
KN805525.1	2759788	16631
KN805525.1	2828793	26432
KN805525.1	2828805	26521
KN805525.1	2828824	42569
KN805525.1	2828826	43084
KN805525.1	3053748	11753
KN805525.1	3053770	11757
KN805525.1	3295190	22190
KN805525.1	3295193	22186
KN805525.1	3295195	22065
KN805525.1	3295202	34064
KN805525.1	3295210	34056
KN805525.1	3295215	34063
KN805525.1	3295220	34043
KN805525.1	3396239	30905
KN805525.1	3396242	30836
KN805525.1	3396252	30891
KN805525.1	3396254	30662
KN805525.1	3396257	30741
KN805525.1	3396266	30766
KN805525.1	3396268	30717
KN805525.1	3537950	20291
KN805525.1	3537952	20274
KN805525.1	3537955	20722
KN805525.1	3537961	20708
KN805525.1	3537978	19516
KN805525.1	3793406	20167
KN805525.1	3793409	20057
KN805525.1	3793412	20136
KN805525.1	3793429	29095
KN805525.1	3793432	29009
KN805525.1	3793434	28961
KN805525.1	3793436	29807
KN805525.1	3857469	16501
KN805525.1	4167987	15954
KN805525.1	4167994	15987
KN805525.1	4167996	15978
KN805525.1	4168001	15963
KN805525.1	4168002	15189
KN805525.1	4168009	15898
KN805525.1	4168010	15345
KN805525.1	4168013	11776
KN805525.1	4308275	11836
KN805525.1	4308280	11836
KN805525.1	4308288	11850
KN805525.1	4308291	11843
KN805525.1	4308295	11573
KN805525.1	4308300	11794
KN805525.1	4308328	11827
KN805525.1	4308372	11579
KN805525.1	4308382	11616
KN805525.1	4308387	11603
KN805525.1	4308410	11611
KN805525.1	4330237	23741
KN805525.1	4330245	24329
KN805525.1	4330249	24359
KN805525.1	4330282	28181
KN805525.1	4330286	28152
KN805525.1	4342296	17498
KN805525.1	4342298	17486
KN805525.1	4342316	14766
KN805525.1	4342323	14801
KN805525.1	4342325	14796
KN805525.1	4342334	14798
KN805525.1	4342337	14797
KN805525.1	4342339	14803
KN805525.1	4342343	14800
KN805525.1	4462578	14094
KN805525.1	4462589	14338
KN805525.1	4462605	16312
KN805525.1	4462610	16278
KN805525.1	4501155	7757
KN805525.1	4501169	7768
KN805525.1	4501258	9209
KN805525.1	4501259	9196
KN805525.1	4501273	9209
KN805525.1	4618049	14356
KN805525.1	4618082	14337
KN805525.1	4618093	14354
KN805525.1	4618094	14365
KN805525.1	4618282	24859
KN805525.1	4618309	22367
KN805525.1	4618325	22368
KN805525.1	4618341	21271
KN805525.1	4650573	20221
KN805525.1	4650601	24305
KN805525.1	4650606	24326
KN805525.1	4650615	24290
KN805525.1	4650639	18103
KN805525.1	4650642	18122
KN805525.1	4650653	18106
KN805525.1	4650658	13253
KN805525.1	4650664	13251
KN805525.1	4650671	13230
KN805525.1	4650715	23264
KN805525.1	4650722	23225
KN805525.1	4650724	23226
KN805525.1	4650737	23240
KN805525.1	4650749	23219
KN805525.1	4650751	23207
KN805525.1	4733594	21576
KN805525.1	4733612	21550
KN805525.1	4733630	21588
KN805525.1	4733643	26605
KN805525.1	4733671	26852
KN805525.1	4733673	26873
KN805525.1	4733676	22299
KN805525.1	4733680	22234
KN805525.1	4733685	22237
KN805525.1	4733686	22245
KN805525.1	4733694	22251
KN805525.1	4733701	22241
KN805525.1	4733707	22175
KN805525.1	4733708	22186
KN805525.1	4733716	22271
KN805525.1	4733721	22204
KN805525.1	5089321	11009
KN805525.1	5089334	11361
KN805525.1	5089348	15550
KN805525.1	5089352	16052
KN805525.1	5089360	16076
KN805525.1	5197959	18684
KN805525.1	5197963	18558
KN805525.1	5197968	18693
KN805525.1	5197986	22419
KN805525.1	5197990	22369
KN805525.1	5197995	22399
KN805525.1	5197996	22342
KN805525.1	5197997	22413
KN805525.1	5198007	24953
KN805525.1	5198009	25005
KN805525.1	5198011	35060
KN805525.1	5198012	35307
KN805525.1	5198014	35201
KN805525.1	5198019	20716
KN805525.1	5198024	20471
KN805525.1	5198026	19641
KN805525.1	5198039	20647
KN805525.1	5198045	18036
KN805525.1	5198049	16597
KN805525.1	5198061	16725
KN805525.1	5198065	16738
KN805525.1	5301631	19535
KN805525.1	5301662	22681
KN805525.1	5301675	22679
KN805525.1	5301681	22218
KN805525.1	5431337	21139
KN805525.1	5431347	21295
KN805525.1	5431353	21289
KN805525.1	5529520	24478
KN805525.1	5529522	24469
KN805525.1	5529538	14080
KN805525.1	5529540	14027
KN805525.1	5529545	14140
KN805525.1	5529550	14094
KN805525.1	5529556	14136
KN805525.1	5551232	11876
KN805525.1	5551244	11578
KN805525.1	5551247	11581
KN805525.1	5566937	22385
KN805525.1	5566941	22457
KN805525.1	5566942	22463
KN805525.1	5566943	22479
KN805525.1	5566944	22438
KN805525.1	5566956	22469
KN805525.1	5566970	20110
KN805525.1	5566978	20115
KN805525.1	5566979	20116
KN805525.1	5734868	21132
KN805525.1	5734881	21121
KN805525.1	5734919	22291
KN805525.1	5734930	23855
KN805525.1	5787233	23001
KN805525.1	5787248	25523
KN805525.1	5787261	25363
KN805525.1	5813888	8692
KN805525.1	5813893	8688
KN805525.1	5813906	8665
KN805525.1	5813917	11704
KN805525.1	5813935	11106
KN805525.1	5813943	18147
KN805525.1	5813952	15883
KN805525.1	5813971	13170
KN805525.1	5813993	13223
KN805525.1	5822121	21902
KN805525.1	5822137	21882
KN805525.1	5822139	21887
KN805525.1	5822163	25611
KN805525.1	5822168	25600
KN805525.1	5822171	25448
KN805525.1	5822175	25470
KN805525.1	5822195	16997
KN805525.1	6186449	11051
KN805525.1	6186458	11065
KN805525.1	6186467	11015
KN805525.1	6186470	11058
KN805525.1	6186473	11040
KN805525.1	6274425	12126
KN805525.1	6274430	12122
KN805525.1	6274431	12120
KN805525.1	6274436	12117
KN805525.1	6274445	12119
KN805525.1	6274446	12114
KN805525.1	6274475	12318
KN805525.1	6341055	20120
KN805525.1	6341058	20160
KN805526.1	3544	12399
KN805526.1	3549	12561
KN805526.1	84660	9132
KN805526.1	84662	9114
KN805526.1	84663	9134
KN805526.1	84677	8933
KN805526.1	84684	9138
KN805526.1	230026	23999
KN805526.1	230031	23987
KN805526.1	230037	23188
KN805526.1	385112	26234
KN805526.1	385117	27017
KN805526.1	385118	26999
KN805526.1	385126	27041
KN805526.1	385143	23559
KN805526.1	385147	23574
KN805526.1	385148	23582
KN805526.1	385151	23582
KN805526.1	386483	21637
KN805526.1	386485	21654
KN805526.1	386489	14259
KN805526.1	386505	18796
KN805526.1	386508	18810
KN805526.1	386516	18706
KN805526.1	464026	19001
KN805526.1	464032	19141
KN805526.1	464040	14476
KN805526.1	464043	12490
KN805526.1	464066	16315
KN805526.1	464071	16319
KN805526.1	669970	10849
KN805526.1	669974	10834
KN805526.1	670008	10825
KN805526.1	715612	11173
KN805526.1	715614	11151
KN805526.1	715618	11171
KN805526.1	715626	11170
KN805526.1	715629	11135
KN805526.1	715631	11117
KN805526.1	715632	11186
KN805526.1	715634	11176
KN805526.1	715639	11175
KN805526.1	715641	11156
KN805526.1	715650	11113
KN805526.1	790202	19917
KN805526.1	807961	13401
KN805526.1	993738	18236
KN805526.1	1159222	13382
KN805526.1	1159224	13413
KN805526.1	1159233	13421
KN805526.1	1246894	13474
KN805526.1	1246902	13669
KN805526.1	1246936	20884
KN805526.1	1246938	17201
KN805526.1	1246949	17070
KN805526.1	1246952	17063
KN805526.1	1246956	17244
KN805526.1	1246957	17174
KN805526.1	1246967	17230
KN805526.1	1246976	17226
KN805526.1	1246979	17241
KN805526.1	1259364	25626
KN805526.1	1259372	25797
KN805526.1	1259385	25782
KN805526.1	1259408	31028
KN805526.1	1259433	30247
KN805526.1	1259437	30253
KN805526.1	1259448	30119
KN805526.1	1259453	25148
KN805526.1	1259466	25132
KN805526.1	1259474	25147
KN805526.1	1259475	25207
KN805526.1	1303352	26985
KN805526.1	1303353	27072
KN805526.1	1303355	26929
KN805526.1	1373949	8982
KN805526.1	1373950	8976
KN805526.1	1373953	8979
KN805526.1	1373959	8976
KN805526.1	1373975	8898
KN805526.1	1373985	8746
KN805526.1	1373991	8938
KN805526.1	1374003	8909
KN805526.1	1426264	13319
KN805526.1	1426303	13251
KN805526.1	1426304	13203
KN805526.1	1426316	13216
KN805526.1	1426318	13216
KN805526.1	1622778	17322
KN805526.1	1622792	17322
KN805526.1	1623339	11135
KN805526.1	1623340	11294
KN805526.1	1623351	11352
KN805526.1	1623357	11336
KN805526.1	1623372	13806
KN805526.1	1623381	13823
KN805526.1	1623394	13820
KN805526.1	1645059	13470
KN805526.1	1645060	13473
KN805526.1	1645062	13490
KN805526.1	1645066	13472
KN805526.1	1645067	13497
KN805526.1	1645072	17151
KN805526.1	1645073	17164
KN805526.1	1645079	17163
KN805526.1	1645080	17190
KN805526.1	1645088	17188
KN805526.1	1645096	29313
KN805526.1	1645101	19858
KN805526.1	1645106	19887
KN805526.1	1645136	16362
KN805526.1	1645139	16394
KN805526.1	1645155	16401
KN805526.1	1670491	16104
KN805526.1	1670525	20463
KN805526.1	1670526	20455
KN805526.1	1670532	20444
KN805526.1	1670536	20343
KN805526.1	1670545	35335
KN805526.1	1670559	23397
KN805526.1	1670562	23407
KN805526.1	1670570	23408
KN805526.1	1670583	19404
KN805526.1	1670586	19316
KN805526.1	1670588	19401
KN805526.1	1670589	19373
KN805526.1	1670597	19398
KN805526.1	1670605	19338
KN805526.1	1681419	14668
KN805526.1	1681424	14650
KN805526.1	1681439	14615
KN805526.1	1681442	14641
KN805526.1	1681466	14603
KN805526.1	1681555	14082
KN805526.1	1712935	13138
KN805526.1	1712938	13537
KN805526.1	1712942	13731
KN805526.1	1712961	13772
KN805526.1	1712971	13784
KN805526.1	1712978	13807
KN805526.1	1712980	13808
KN805526.1	1712992	13811
KN805526.1	1756826	19337
KN805526.1	1756861	19328
KN805526.1	1756872	24038
KN805526.1	1756908	21918
KN805526.1	1756910	21835
KN805526.1	1756921	21927
KN805526.1	1756922	21911
KN805526.1	1756923	21920
KN805526.1	1765603	17767
KN805526.1	1765604	17616
KN805526.1	1765612	17767
KN805526.1	1765632	17745
KN805526.1	1765637	17773
KN805526.1	1765649	20002
KN805526.1	1765655	15938
KN805526.1	1782815	8194
KN805526.1	1782817	8180
KN805526.1	1864063	13889
KN805526.1	1864066	13879
KN805526.1	1864094	18476
KN805526.1	1864102	18448
KN805526.1	1864107	18389
KN805526.1	1864134	20746
KN805526.1	1864151	16748
KN805526.1	1864161	16728
KN805526.1	1916764	15366
KN805526.1	1916766	15410
KN805526.1	1916774	14343
KN805526.1	1916778	15422
KN805526.1	2356656	17350
KN805526.1	2356672	18183
KN805526.1	2356673	18194
KN805526.1	2356674	18202
KN805526.1	2356680	18210
KN805526.1	2356682	18173
KN805526.1	2497113	16436
KN805526.1	2497114	16605
KN805526.1	2497137	21024
KN805526.1	2497173	18150
KN805526.1	2497183	18166
KN805526.1	2497191	18165
KN805526.1	2613608	23386
KN805526.1	2724963	14409
KN805526.1	2724972	14397
KN805526.1	2724984	14371
KN805526.1	2724991	14386
KN805526.1	2724997	14388
KN805526.1	2725000	16895
KN805526.1	2725002	18171
KN805526.1	2725007	18636
KN805526.1	2725009	18619
KN805526.1	2725031	21899
KN805526.1	2725035	21883
KN805526.1	2725044	18477
KN805526.1	2725070	18482
KN805526.1	2725071	18473
KN805526.1	2776472	17976
KN805526.1	2840521	18160
KN805526.1	2850727	22900
KN805526.1	2850733	22897
KN805526.1	2850735	22918
KN805526.1	2850741	22949
KN805526.1	2850754	35802
KN805526.1	2850758	35983
KN805526.1	2906781	15044
KN805526.1	2906782	15037
KN805526.1	2906783	14701
KN805526.1	2906786	15061
KN805526.1	2906787	15022
KN805526.1	2906791	15025
KN805526.1	2906795	15053
KN805526.1	2906803	14910
KN805526.1	2906809	13168
KN805526.1	2906814	15049
KN805526.1	2906817	15029
KN805526.1	2906820	15038
KN805526.1	2906828	15045
KN805526.1	2906833	15011
KN805526.1	2906837	15039
KN805526.1	2970698	20813
KN805526.1	2970699	20786
KN805526.1	2970707	20805
KN805526.1	2970711	20765
KN805526.1	2970750	16109
KN805526.1	2970751	14589
KN805526.1	3002685	14864
KN805526.1	3047454	20802
KN805526.1	3047455	20860
KN805526.1	3047461	20799
KN805526.1	3047464	20806
KN805526.1	3156440	20766
KN805526.1	3156444	20777
KN805526.1	3163402	12395
KN805526.1	3163410	12378
KN805526.1	3173260	17076
KN805526.1	3173272	17042
KN805526.1	3173277	17075
KN805526.1	3173286	20440
KN805526.1	3173300	20537
KN805526.1	3173311	29415
KN805526.1	3173314	29406
KN805526.1	3173323	16885
KN805526.1	3173329	16907
KN805526.1	3173337	16913
KN805526.1	3173339	16898
KN805526.1	3192876	12030
KN805526.1	3192879	12021
KN805526.1	3192893	12029
KN805526.1	3192898	12035
KN805526.1	3192911	12007
KN805526.1	3192985	9318
KN805526.1	3193017	9318
KN805526.1	3193020	9261
KN805526.1	3193041	9352
KN805526.1	3208439	22035
KN805526.1	3208440	22052
KN805526.1	3208441	22048
KN805526.1	3208460	26561
KN805526.1	3208478	26689
KN805526.1	3208481	26750
KN805526.1	3208484	42602
KN805526.1	3208503	25564
KN805526.1	3208508	23406
KN805526.1	3208509	23397
KN805526.1	3208515	20886
KN805526.1	3208527	20888
KN805526.1	3208531	20876
KN805526.1	3208532	20879
KN805526.1	3208536	20879
KN805526.1	3232150	16470
KN805526.1	3232160	16493
KN805526.1	3339077	20615
KN805526.1	3339105	20611
KN805526.1	3339113	20754
KN805526.1	3344617	21818
KN805526.1	3344633	21790
KN805526.1	3344635	21803
KN805526.1	3344638	21744
KN805526.1	3418085	22101
KN805526.1	3504029	21818
KN805526.1	3504036	21785
KN805526.1	3504038	21803
KN805526.1	3504054	21783
KN805526.1	3504056	21701
KN805526.1	3504064	21718
KN805526.1	3504066	21739
KN805526.1	3504081	18785
KN805526.1	3565138	17457
KN805526.1	3567848	14996
KN805526.1	3567855	14988
KN805526.1	3667798	20690
KN805526.1	3667803	20679
KN805526.1	3667806	20622
KN805526.1	3667818	20676
KN805526.1	3667835	25958
KN805526.1	3667851	30982
KN805526.1	3667856	26468
KN805526.1	3667868	26260
KN805526.1	3667911	21218
KN805526.1	3669053	26653
KN805526.1	3669056	26666
KN805526.1	3669071	26774
KN805526.1	3669074	26781
KN805526.1	3669076	25998
KN805526.1	3669077	26025
KN805526.1	3669079	26011
KN805526.1	3669088	16383
KN805526.1	3669091	16383
KN805526.1	3669092	16361
KN805526.1	3669095	16401
KN805526.1	3669106	16402
KN805526.1	3694379	15332
KN805526.1	3694391	15365
KN805526.1	3694396	15362
KN805526.1	3694398	15354
KN805526.1	3694406	15417
KN805526.1	3694408	15424
KN805526.1	3694418	15415
KN805526.1	3751441	13084
KN805526.1	3751460	12977
KN805526.1	3751466	12914
KN805526.1	4006474	8508
KN805526.1	4299222	13017
KN805526.1	4299224	13020
KN805526.1	4299230	13032
KN805526.1	4299239	12848
KN805526.1	4299242	13023
KN805526.1	4299246	13027
KN805526.1	4299254	13030
KN805526.1	4299257	13035
KN805526.1	4308011	27012
KN805526.1	4586303	21423
KN805526.1	4586304	22004
KN805526.1	4586310	21970
KN805526.1	4586311	22012
KN805526.1	4586334	19365
KN805526.1	4586343	19379
KN805526.1	4586345	19355
KN805526.1	4586353	18227
KN805526.1	4586354	18264
KN805526.1	4629853	19534
KN805526.1	4629870	22138
KN805526.1	4629871	22097
KN805526.1	4629880	22153
KN805526.1	4629888	22115
KN805526.1	4629898	22175
KN805526.1	4656246	16071
KN805526.1	4656248	16301
KN805526.1	4656250	16268
KN805526.1	4656264	16380
KN805526.1	4656269	31322
KN805526.1	4656272	31452
KN805526.1	4656282	22661
KN805526.1	4656303	22864
KN805526.1	4656312	19294
KN805526.1	4656313	19333
KN805526.1	4656315	19351
KN805526.1	4656326	19403
KN805526.1	4677261	15009
KN805526.1	4720257	21542
KN805526.1	4720259	21530
KN805526.1	4720262	21481
KN805526.1	4720263	21536
KN805526.1	4720282	24117
KN805526.1	4720291	24352
KN805526.1	4720297	23659
KN805526.1	4794964	22300
KN805526.1	4794973	22332
KN805526.1	4795007	41099
KN805526.1	4795016	27583
KN805526.1	4795020	27497
KN805526.1	4795046	23832
KN805526.1	4900575	18746
KN805526.1	4900580	20115
KN805526.1	4900581	20117
KN805526.1	4900582	20153
KN805526.1	4900592	20097
KN805526.1	4900595	20121
KN805526.1	4900601	19965
KN805526.1	4900604	19786
KN805526.1	4965605	10719
KN805526.1	4965611	10725
KN805526.1	4965612	10719
KN805526.1	4965640	13414
KN805526.1	4965646	13396
KN805526.1	5038997	16595
KN805526.1	5093145	21627
KN805526.1	5093146	21643
KN805526.1	5093162	22019
KN805526.1	5093176	21756
KN805526.1	5235617	13596
KN805526.1	5235628	13841
KN805526.1	5235633	13834
KN805526.1	5235635	13857
KN805526.1	5235638	13832
KN805526.1	5235644	13830
KN805526.1	5235653	13836
KN805526.1	5235658	13861
KN805526.1	5235666	13855
KN805526.1	5235667	13855
KN805526.1	5235672	13865
KN805526.1	5235711	25025
KN805526.1	5235716	25024
KN805526.1	5235721	25008
KN805526.1	5235723	24974
KN805526.1	5235733	24953
KN805526.1	5235735	24972
KN805526.1	5235745	24931
KN805526.1	5382575	16420
KN805526.1	5382577	16459
KN805526.1	5382578	16485
KN805526.1	5382579	16465
KN805526.1	5382592	16484
KN805526.1	5382594	16136
KN805526.1	5382600	14207
KN805526.1	5382604	14181
KN805526.1	5382608	14203
KN805526.1	5382617	13834
KN805526.1	5382619	13251
KN805526.1	5382620	13271
KN805526.1	5382621	13633
KN805526.1	5382623	14187
KN805526.1	5382627	14135
KN805526.1	5382631	13841
KN805526.1	5382646	18381
KN805526.1	5382647	18368
KN805526.1	5382666	18342
KN805526.1	5382674	18323
KN805526.1	5382686	15766
KN805526.1	5382729	12322
KN805526.1	5382734	12321
KN805526.1	5382737	12310
KN805526.1	5382738	12307
KN805526.1	6098949	8472
KN805526.1	6098969	8485
KN805526.1	6219322	16375
KN805526.1	6219382	14267
KN805526.1	6219387	14321
KN805526.1	6219393	14384
KN805526.1	6219416	14381
KN805526.1	6219417	14384
KN805526.1	6247803	35052
KN805526.1	6247816	34902
KN805526.1	6247817	35113
KN805526.1	6247818	35024
KN805526.1	6247820	35107
KN805526.1	6247821	35091
KN805526.1	6247829	22273
KN811289.1	53408	16524
KN811289.1	225177	20611
KN811289.1	225187	20884
KN811289.1	225190	20849
KN811289.1	225194	20901
KN811289.1	225195	20911
KN811289.1	290671	25832
KN811289.1	290673	25934
KN811289.1	290674	25954
KN811289.1	290694	25967
KN811289.1	334647	19130
KN811289.1	334654	19164
KN811289.1	334657	16920
KN811289.1	334662	19181
KN811289.1	334668	19173
KN811289.1	334682	19194
KN811289.1	334690	19190
KN811289.1	334691	19106
KN811289.1	336827	25855
KN811289.1	336840	28096
KN811289.1	336841	28078
KN811289.1	366899	17832
KN811289.1	366923	17833
KN811289.1	466938	12926
KN811289.1	466960	12954
KN811289.1	509408	13201
KN811289.1	509475	18518
KN811289.1	509486	19283
KN811289.1	514090	26310
KN811289.1	514099	26339
KN811289.1	514103	26331
KN811289.1	514116	21472
KN811289.1	514118	21504
KN811289.1	566996	10363
KN811289.1	567032	9858
KN811289.1	570062	7883
KN811289.1	570066	7883
KN811289.1	570090	7754
KN811289.1	570091	7743
KN811289.1	570097	7864
KN811289.1	570109	7888
KN811289.1	570168	9811
KN811289.1	570188	9939
KN811289.1	570189	9945
KN811289.1	570196	9931
KN811289.1	570200	9949
KN811289.1	570201	9940
KN811289.1	570204	9954
KN811289.1	570208	9937
KN811289.1	570216	9871
KN811289.1	647144	10822
KN811289.1	820689	17683
KN811289.1	820692	17676
KN811289.1	820696	17691
KN811289.1	820706	17124
KN811289.1	820708	17665
KN811289.1	820714	17683
KN811289.1	820724	17621
KN811289.1	820733	17665
KN811289.1	820744	17674
KN811289.1	820748	20727
KN811289.1	820776	16633
KN811289.1	820784	17387
KN811289.1	820791	17417
KN811289.1	820793	17432
KN811289.1	820804	17429
KN811289.1	820824	17388
KN811289.1	820827	17390
KN811289.1	857527	20191
KN811289.1	857538	20306
KN811289.1	857559	23444
KN811289.1	857587	32402
KN811289.1	857614	12333
KN811289.1	857616	12317
KN811289.1	857627	12324
KN811289.1	927268	32836
KN811289.1	927276	32888
KN811289.1	927310	22126
KN811289.1	954816	16000
KN811289.1	954847	15998
KN811289.1	954848	16009
KN811289.1	954856	15972
KN811289.1	954891	22462
KN811289.1	954918	34359
KN811289.1	954923	34308
KN811289.1	954937	33288
KN811289.1	954939	33674
KN811289.1	954948	18982
KN811289.1	954960	18893
KN811289.1	954961	18944
KN811289.1	954963	18986
KN811289.1	958226	25650
KN811289.1	1174030	15179
KN811289.1	1174031	15171
KN811289.1	1174040	15184
KN811289.1	1174045	15181
KN811289.1	1174055	15139
KN811289.1	1174069	15161
KN811289.1	1174153	16236
KN811289.1	1174157	16214
KN811289.1	1174160	16198
KN811289.1	1174164	16234
KN811289.1	1174174	16222
KN811289.1	1174179	16237
KN811289.1	1174182	16245
KN811289.1	1174183	16249
KN811289.1	1176168	21033
KN811289.1	1176173	21066
KN811289.1	1176179	20957
KN811289.1	1176196	20947
KN811289.1	1176200	20946
KN811289.1	1176203	20936
KN811289.1	1176206	20305
KN811289.1	1176210	17339
KN811289.1	1176214	18203
KN811289.1	1176215	18193
KN811289.1	1176219	18206
KN811289.1	1210931	12616
KN811289.1	1210936	12603
KN811289.1	1210937	12615
KN811289.1	1210939	12586
KN811289.1	1210941	12590
KN811289.1	1210942	12592
KN811289.1	1210946	12608
KN811289.1	1210947	12604
KN811289.1	1210950	12603
KN811289.1	1210966	12594
KN811289.1	1229549	28107
KN811289.1	1229551	28209
KN811289.1	1229565	28322
KN811289.1	1229566	28305
KN811289.1	1229569	28287
KN811289.1	1302944	39446
KN811289.1	1302978	35793
KN811289.1	1302982	35821
KN811289.1	1302986	35943
KN811289.1	1302987	35939
KN811289.1	1302997	35089
KN811289.1	1303014	33620
KN811289.1	1303015	33595
KN811289.1	1303042	33592
KN811289.1	1303044	33582
KN811289.1	1303045	33592
KN811289.1	1303058	33627
KN811289.1	1431364	13456
KN811289.1	1431382	13438
KN811289.1	1431389	16253
KN811289.1	1431402	16187
KN811289.1	1486075	19768
KN811289.1	1486111	21452
KN811289.1	1486116	21427
KN811289.1	1486127	21305
KN811289.1	1886548	17147
KN811289.1	1886567	17158
KN811289.1	1886585	17139
KN811289.1	1886654	14811
KN811289.1	1886659	14813
KN811289.1	1886662	14827
KN811289.1	1886663	14816
KN811289.1	1915939	14047
KN811289.1	1915952	14058
KN811289.1	1915960	14026
KN811289.1	1915967	13796
KN811289.1	1915968	13955
