pop1	pop2	fst	weighted_fst	rare_fst	rare_weight_fst
HB	KC	0.177499	0.295321	0.172902	0.181172
HB	MDIBL	0.04009	0.187616	0.111857	0.158304
HB	ME	0.044841	0.208879	0.125098	0.168596
HB	M	0.011981	0.036872	0.025768	0.034353
HB	MG	0.043865	0.137897	0.091114	0.13469
HB	NBH	0.00999	0.031927	0.02356	0.030987
HB	NC	0.261392	0.389053	0.170466	0.164081
HB	RB	0.052075	0.163271	0.106803	0.160457
HB	SC	0.274828	0.428765	0.181615	0.176648
HB	SH	0.050756	0.165535	0.108198	0.162204
HB	SLC	0.007626	0.020538	0.013667	0.018997
HB	SR	0.018976	0.062285	0.043344	0.058158
HB	WNC	0.151182	0.290646	0.179194	0.206043
KC	MDIBL	0.218744	0.39298	0.214836	0.231885
KC	ME	0.216993	0.425282	0.194999	0.212001
KC	M	0.184264	0.299403	0.164173	0.172814
KC	MG	0.096115	0.1441	0.099451	0.092028
KC	NBH	0.177531	0.294743	0.195327	0.200416
KC	NC	0.245563	0.301392	0.00238	0.002242
KC	OC	0.101001	0.147773	0.079646	0.077356
KC	SC	0.260183	0.345136	0.00719	0.007339
KC	SH	0.104316	0.135944	0.084206	0.078003
KC	SLC	0.179318	0.289862	0.16389	0.17187
KC	SR	0.177482	0.291481	0.181652	0.188967
KC	WNC	0.168693	0.214256	0.046672	0.050192
MDIBL	ME	0.028565	0.147852	0.086353	0.114473
MDIBL	MG	0.06013	0.230061	0.14925	0.22141
MDIBL	NBH	0.038806	0.193707	0.114124	0.166835
MDIBL	NC	0.317635	0.485979	0.196888	0.194991
MDIBL	OC	0.076693	0.262457	0.173285	0.246338
MDIBL	RB	0.069968	0.258699	0.169449	0.250808
MDIBL	SC	0.325862	0.520842	0.211287	0.21197
MDIBL	SH	0.067815	0.261096	0.170135	0.252166
MDIBL	SR	0.037662	0.17656	0.105233	0.152914
MDIBL	WNC	0.182953	0.382633	0.224698	0.265109
ME	MG	0.069481	0.267262	0.17099	0.240952
ME	NBH	0.044632	0.214169	0.124425	0.170251
ME	NC	0.310014	0.514267	0.163244	0.163886
ME	OC	0.084299	0.30016	0.190039	0.258818
ME	RB	0.078571	0.296671	0.190992	0.270024
ME	SC	0.316979	0.550507	0.194521	0.196012
ME	SH	0.077318	0.298396	0.192654	0.269837
ME	SLC	0.04469	0.209312	0.119344	0.16183
ME	SR	0.042273	0.19471	0.11399	0.155575
ME	WNC	0.184858	0.413809	0.217047	0.258469
MG	NBH	0.04404	0.139752	0.090412	0.141333
MG	OC	0.007869	0.015067	0.010928	0.014195
MG	RB	0.004515	0.009184	0.006233	0.009219
MG	SC	0.19938	0.285742	0.151617	0.139813
MG	SH	0.004367	0.009684	0.006569	0.009659
MG	SLC	0.043593	0.13564	0.089204	0.130104
MG	SR	0.041365	0.133453	0.087433	0.133128
MG	WNC	0.100793	0.150657	0.113934	0.117629
M	MDIBL	0.039674	0.194569	0.113798	0.161912
M	ME	0.045404	0.215936	0.124039	0.168808
M	MG	0.045792	0.144879	0.094187	0.137765
M	NBH	0.003862	0.010686	0.007316	0.010062
M	NC	0.269138	0.38885	0.154655	0.147968
M	SC	0.28267	0.428274	0.165571	0.161482
M	SH	0.052435	0.171389	0.110459	0.163751
M	SLC	0.00806	0.023842	0.015803	0.022088
M	SR	0.023684	0.083236	0.055036	0.074488
M	WNC	0.154761	0.291502	0.169772	0.195448
NBH	NC	0.260952	0.38561	0.196036	0.188116
NBH	OC	0.056942	0.165807	0.116887	0.165427
NBH	RB	0.052554	0.164819	0.107333	0.167921
NBH	SC	0.275063	0.424894	0.214444	0.208994
NBH	SH	0.05066	0.16631	0.109488	0.168386
NBH	SLC	0.006289	0.018998	0.013645	0.018098
NBH	SR	0.021452	0.076866	0.052858	0.073149
NC	RB	0.159706	0.219806	0.118063	0.105976
NC	SC	0.304864	0.39622	-0.01856	-0.018916
NC	SH	0.173782	0.218758	0.108382	0.097362
NC	SLC	0.263129	0.383389	0.157554	0.152046
NC	SR	0.260103	0.383301	0.181005	0.173776
NC	WNC	0.215323	0.266144	0.029295	0.027629
OC	RB	0.007137	0.011439	0.008065	0.010447
OC	SC	0.191709	0.284552	0.112235	0.105184
OC	SH	0.008245	0.012986	0.008715	0.011697
OC	SLC	0.056846	0.162407	0.109668	0.154091
OC	SR	0.054491	0.160316	0.1096	0.158192
OC	WNC	0.099521	0.150795	0.092325	0.099964
RB	SLC	0.052137	0.161708	0.106021	0.1569
RB	SR	0.050148	0.160207	0.104662	0.161438
RB	WNC	0.094685	0.139857	0.102255	0.10494
SC	SH	0.204245	0.271281	0.126366	0.115936
SC	SLC	0.277581	0.424073	0.172192	0.168081
SC	SR	0.274827	0.425602	0.195327	0.190988
SC	WNC	0.211806	0.266407	0.030345	0.029088
SH	SLC	0.050393	0.162534	0.105998	0.156665
SH	SR	0.04863	0.16261	0.106186	0.163074
SH	WNC	0.101755	0.138321	0.095749	0.100226
SLC	SR	0.020919	0.070154	0.047593	0.064171
SLC	WNC	0.15135	0.285467	0.169037	0.194609
